City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Butaritari,KI,81.63,overcast clouds,3.07,172.79,Isles Sunset Lodge
16,Carutapera,BR,78.13,scattered clouds,-1.2,-46.02,Carutapera
20,Rikitea,PF,75.96,clear sky,-23.12,-134.97,Rikitea
28,Natal,BR,78.8,few clouds,-5.79,-35.21,Natal
30,Ixtapa,MX,84.2,broken clouds,20.7,-105.2,Puerto Vallarta
31,Hilo,US,86.0,scattered clouds,19.73,-155.09,Hilo
42,Butterworth,MY,77.0,scattered clouds,5.4,100.36,George Town
43,Pizarro,CO,77.77,light rain,4.95,-77.37,Pizarro
47,San Nicolas,PH,78.8,broken clouds,18.17,120.6,Laoag City
50,Tautira,PF,86.0,scattered clouds,-17.73,-149.15,Tautira
63,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Nukuhetulu
64,Hobyo,SO,80.78,overcast clouds,5.35,48.53,Hobyo
65,Santa Ana,US,82.99,broken clouds,33.75,-117.87,Santa Ana
67,Cabo San Lucas,MX,82.99,few clouds,22.89,-109.91,Cabo San Lucas
68,Pemangkat,ID,79.03,overcast clouds,1.17,108.97,Pemangkat
71,Srandakan,ID,78.98,scattered clouds,-7.94,110.25,Bantul
73,Lumajang,ID,78.19,overcast clouds,-8.13,113.22,Lumajang
81,Yulara,AU,78.8,clear sky,-25.24,130.99,Petermann
86,Bengkulu,ID,76.66,overcast clouds,-3.8,102.27,Bengkulu
89,Paraibano,BR,76.66,overcast clouds,-6.43,-43.98,Paraibano
92,Kapaa,US,82.99,overcast clouds,22.08,-159.32,Kapaʻa
93,Faanui,PF,79.39,clear sky,-16.48,-151.75,Vaitape
94,Lompoc,US,78.01,clear sky,34.64,-120.46,Lompoc
99,Georgetown,MY,77.0,few clouds,5.41,100.34,George Town
110,Tanete,ID,82.56,overcast clouds,-3.94,119.78,Pangkadjene
114,Sao Filipe,CV,79.93,overcast clouds,14.9,-24.5,Sao Filipe
120,Sibolga,ID,76.35,light rain,1.74,98.78,Sibolga
121,Labuhan,ID,75.76,light rain,-6.88,112.21,Musholla Babut Taubat
122,Hithadhoo,MV,83.8,overcast clouds,-0.6,73.08,Addu City
124,Diffa,NE,77.81,clear sky,13.32,12.61,Diffa
134,San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,San Cristobal
137,Lorengau,PG,84.97,scattered clouds,-2.02,147.27,Lorengau
138,Gizo,SB,85.1,scattered clouds,-8.1,156.84,Gizo
142,Sao Felix Do Xingu,BR,76.06,moderate rain,-6.64,-51.99,São Félix do Xingu
145,Oyo,NG,78.8,broken clouds,7.85,3.93,Oyo
148,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Avarua District
149,Oistins,BB,78.8,broken clouds,13.07,-59.53,Bridgetown
155,Thinadhoo,MV,83.28,overcast clouds,0.53,72.93,
157,Kirakira,SB,85.6,scattered clouds,-10.45,161.92,Arohane
162,Atuona,PF,78.44,few clouds,-9.8,-139.03,Atuona
163,Namibe,AO,76.77,light rain,-15.2,12.15,Namibe
169,Kalmunai,LK,78.01,light rain,7.42,81.82,Kalmunai
172,San Antonio,US,77.0,clear sky,29.42,-98.49,San Antonio
